sample_id	in_vcf	in_phenotype	matched_id	match_rule	bucket
AC-2001	Y	N		none	vcf_only
AC-Albatros	Y	N		none	vcf_only
AC-Brant	Y	N		none	vcf_only
AC-Bravor	Y	N		none	vcf_only
AC-Cormoran	Y	N		none	vcf_only
AC-Harmony	Y	N		none	vcf_only
AC-Orford	Y	N		none	vcf_only
AYR	Y	N		none	vcf_only
Accord	Y	N		none	vcf_only
Alta	Y	N		none	vcf_only
Archer	Y	N		none	vcf_only
Blackjack-21	Y	N		none	vcf_only
CF492	Y	N		none	vcf_only
CK-01	Y	N		none	vcf_only
CS126	Y	N		none	vcf_only
Conrad-94	Y	N		none	vcf_only
Dwight	Y	N		none	vcf_only
E00003	Y	N		none	vcf_only
Essex	Y	N		none	vcf_only
Evans	Y	N		none	vcf_only
FC001547	N	Y	FC1547	zero_pad_candidate	ambiguous
FC002108	N	Y	FC2108	zero_pad_candidate	ambiguous
FC002109	N	Y	FC2109	zero_pad_candidate	ambiguous
FC003548	N	Y	FC3548	zero_pad_candidate	ambiguous
FC003609	N	Y	FC3609	zero_pad_candidate	ambiguous
FC003654-1	N	Y	FC3654-1	zero_pad_candidate	ambiguous
FC003654N	N	Y	FC3654N	zero_pad_candidate	ambiguous
FC003659	N	Y	FC3659	zero_pad_candidate	ambiguous
FC003981	N	Y	FC3981	zero_pad_candidate	ambiguous
FC004002B	N	Y	FC4002B	zero_pad_candidate	ambiguous
FC004002N	N	Y	FC4002N	zero_pad_candidate	ambiguous
FC004007A	N	Y	FC4007A	zero_pad_candidate	ambiguous
FC004007B	N	Y	FC4007B	zero_pad_candidate	ambiguous
FC019976	N	Y	FC19976	zero_pad_candidate	ambiguous
FC019976-1	N	Y	FC19976-1	zero_pad_candidate	ambiguous
FC019976-2	N	Y	FC19976-2	zero_pad_candidate	ambiguous
FC019979-1	N	Y	FC19979-1	zero_pad_candidate	ambiguous
FC019979-2	N	Y	FC19979-2	zero_pad_candidate	ambiguous
FC019979-3	N	Y	FC19979-3	zero_pad_candidate	ambiguous
FC019979-4	N	Y	FC19979-4	zero_pad_candidate	ambiguous
FC019979-5	N	Y	FC19979-5	zero_pad_candidate	ambiguous
FC019979-6	N	Y	FC19979-6	zero_pad_candidate	ambiguous
FC019979-7	N	Y	FC19979-7	zero_pad_candidate	ambiguous
FC021340	N	Y	FC21340	zero_pad_candidate	ambiguous
FC029219	N	Y	FC29219	zero_pad_candidate	ambiguous
FC029333	N	Y	FC29333	zero_pad_candidate	ambiguous
FC030233	N	Y	FC30233	zero_pad_candidate	ambiguous
FC030265	N	Y	FC30265	zero_pad_candidate	ambiguous
FC030267	N	Y	FC30267	zero_pad_candidate	ambiguous
FC030282	N	Y	FC30282	zero_pad_candidate	ambiguous
FC030683	N	Y	FC30683	zero_pad_candidate	ambiguous
FC030684	N	Y	FC30684	zero_pad_candidate	ambiguous
FC030685	N	Y	FC30685	zero_pad_candidate	ambiguous
FC030687	N	Y	FC30687	zero_pad_candidate	ambiguous
FC030689	N	Y	FC30689	zero_pad_candidate	ambiguous
FC030691	N	Y	FC30691	zero_pad_candidate	ambiguous
FC030692	N	Y	FC30692	zero_pad_candidate	ambiguous
FC030694	N	Y	FC30694	zero_pad_candidate	ambiguous
FC030967	N	Y	FC30967	zero_pad_candidate	ambiguous
FC031122	N	Y	FC31122	zero_pad_candidate	ambiguous
FC031408	N	Y	FC31408	zero_pad_candidate	ambiguous
FC031409	N	Y	FC31409	zero_pad_candidate	ambiguous
FC031416	N	Y	FC31416	zero_pad_candidate	ambiguous
FC031557	N	Y	FC31557	zero_pad_candidate	ambiguous
FC031571	N	Y	FC31571	zero_pad_candidate	ambiguous
FC031572	N	Y	FC31572	zero_pad_candidate	ambiguous
FC031572-3	N	Y	FC31572-3	zero_pad_candidate	ambiguous
FC031579	N	Y	FC31579	zero_pad_candidate	ambiguous
FC031592	N	Y	FC31592	zero_pad_candidate	ambiguous
FC031622	N	Y	FC31622	zero_pad_candidate	ambiguous
FC031630	N	Y	FC31630	zero_pad_candidate	ambiguous
FC031649	N	Y	FC31649	zero_pad_candidate	ambiguous
FC031665	N	Y	FC31665	zero_pad_candidate	ambiguous
FC031676	N	Y	FC31676	zero_pad_candidate	ambiguous
FC031677	N	Y	FC31677	zero_pad_candidate	ambiguous
FC031678	N	Y	FC31678	zero_pad_candidate	ambiguous
FC031683	N	Y	FC31683	zero_pad_candidate	ambiguous
FC031684	N	Y	FC31684	zero_pad_candidate	ambiguous
FC031685	N	Y	FC31685	zero_pad_candidate	ambiguous
FC031689	N	Y	FC31689	zero_pad_candidate	ambiguous
FC031697	N	Y	FC31697	zero_pad_candidate	ambiguous
FC031700	N	Y	FC31700	zero_pad_candidate	ambiguous
FC031702	N	Y	FC31702	zero_pad_candidate	ambiguous
FC031707	N	Y	FC31707	zero_pad_candidate	ambiguous
FC031709	N	Y	FC31709	zero_pad_candidate	ambiguous
FC031715	N	Y	FC31715	zero_pad_candidate	ambiguous
FC031719	N	Y	FC31719	zero_pad_candidate	ambiguous
FC031721	N	Y	FC31721	zero_pad_candidate	ambiguous
FC031731	N	Y	FC31731	zero_pad_candidate	ambiguous
FC031732	N	Y	FC31732	zero_pad_candidate	ambiguous
FC031737	N	Y	FC31737	zero_pad_candidate	ambiguous
FC031744	N	Y	FC31744	zero_pad_candidate	ambiguous
FC031745	N	Y	FC31745	zero_pad_candidate	ambiguous
FC031750	N	Y	FC31750	zero_pad_candidate	ambiguous
FC031918	N	Y	FC31918	zero_pad_candidate	ambiguous
FC031919	N	Y	FC31919	zero_pad_candidate	ambiguous
FC031921	N	Y	FC31921	zero_pad_candidate	ambiguous
FC031927	N	Y	FC31927	zero_pad_candidate	ambiguous
FC031933	N	Y	FC31933	zero_pad_candidate	ambiguous
FC031934	N	Y	FC31934	zero_pad_candidate	ambiguous
FC031935	N	Y	FC31935	zero_pad_candidate	ambiguous
FC031943	N	Y	FC31943	zero_pad_candidate	ambiguous
FC031946	N	Y	FC31946	zero_pad_candidate	ambiguous
FC031952	N	Y	FC31952	zero_pad_candidate	ambiguous
FC032033	N	Y	FC32033	zero_pad_candidate	ambiguous
FC032141	N	Y	FC32141	zero_pad_candidate	ambiguous
FC032175	N	Y	FC32175	zero_pad_candidate	ambiguous
FC032176	N	Y	FC32176	zero_pad_candidate	ambiguous
FC033123	N	Y	FC33123	zero_pad_candidate	ambiguous
FC033243	N	Y	FC33243	zero_pad_candidate	ambiguous
FC033243-1	N	Y	FC33243-1	zero_pad_candidate	ambiguous
FC033243-2	N	Y	FC33243-2	zero_pad_candidate	ambiguous
FC1547	Y	N	FC001547	zero_pad_candidate	ambiguous
FC19976	Y	N	FC019976	zero_pad_candidate	ambiguous
FC19976-1	Y	N	FC019976-1	zero_pad_candidate	ambiguous
FC19976-2	Y	N	FC019976-2	zero_pad_candidate	ambiguous
FC19979-1	Y	N	FC019979-1	zero_pad_candidate	ambiguous
FC19979-2	Y	N	FC019979-2	zero_pad_candidate	ambiguous
FC19979-3	Y	N	FC019979-3	zero_pad_candidate	ambiguous
FC19979-4	Y	N	FC019979-4	zero_pad_candidate	ambiguous
FC19979-5	Y	N	FC019979-5	zero_pad_candidate	ambiguous
FC19979-6	Y	N	FC019979-6	zero_pad_candidate	ambiguous
FC19979-7	Y	N	FC019979-7	zero_pad_candidate	ambiguous
FC2108	Y	N	FC002108	zero_pad_candidate	ambiguous
FC2109	Y	N	FC002109	zero_pad_candidate	ambiguous
FC21340	Y	N	FC021340	zero_pad_candidate	ambiguous
FC29219	Y	N	FC029219	zero_pad_candidate	ambiguous
FC29333	Y	N	FC029333	zero_pad_candidate	ambiguous
FC30233	Y	N	FC030233	zero_pad_candidate	ambiguous
FC30265	Y	N	FC030265	zero_pad_candidate	ambiguous
FC30267	Y	N	FC030267	zero_pad_candidate	ambiguous
FC30282	Y	N	FC030282	zero_pad_candidate	ambiguous
FC30683	Y	N	FC030683	zero_pad_candidate	ambiguous
